d15Ncal	D17Ocal
23.75729702	30.3174223
22.43331775	30.62535952
23.04383629	30.70886362
23.95910449	29.9994595
30.10811676	28.86117682
31.83774941	29.98841869
36.81770531	30.12763449
37.08270501	30.07896606
19.50099415	30.55391149
61.29858145	28.90641878
59.92873685	30.54667785
24.78527884	29.3079535
11.00711052	24.45777062
5.196532155	28.64451005
5.632719309	26.47021987
8.340104267	27.40759842
10.18727392	24.98915017
8.614090001	29.3949554
14.73208997	31.62903678
16.00460149	28.63394188
18.05745697	31.24649958
27.83385522	27.09249386
11.04306071	32.4980158
11.55355345	31.94494466
20.06466416	33.46957843
17.02722715	36.7035034
41.48324523	29.91590097
19.31678458	33.92321291
37.92353371	28.13203476
17.07242168	31.76865135
21.49243427	33.72482559
29.09300148	34.07817774
18.72517835	34.00501891
17.61270173	33.91645125
18.24016554	33.96439586
14.67221901	35.81034977
14.95127855	37.8892797
16.70881115	31.37690523
14.14813025	36.39567048
14.37307575	34.77962323
18.11023259	40.93451577
17.57342351	43.56897997
18.32040696	37.99039924
21.57441301	43.15484083
30.07427631	42.80106115
38.99895806	36.24712144
23.94511397	41.20463109
18.20663498	43.25942358
19.53860493	44.63466142
27.55056327	41.25222165
19.35331602	42.59974996
23.53210584	42.44534503
20.27096172	39.11241698
20.39011093	40.32379094
13.66434337	32.82913275
6.293526621	32.65941641
23.63179121	34.92303164
8.18281616	37.58805944
6.847389397	36.42137526
14.47129614	36.08817911
4.257716829	34.76186437
-0.140261584	33.81770495
-11.7017013	33.28188123
-6.10929002	32.8035052
11.86067082	34.97768862
6.917585315	32.37367898
10.37685063	31.20722318
7.347700213	30.5788485
9.296908473	32.36602261
10.69790796	30.62263104
9.257736513	29.14830147
12.88313625	29.35014534
11.61521461	28.64683271
9.168044306	30.03308957
11.54183008	29.7766127
14.95930698	32.23776274
8.977448368	30.04704922
15.14378754	30.10637774
20.16553186	30.50391055
