mid_depth_cm	NO3_ppb	d15N_corr	D17O_corr
0.2	642.9	28.75	29.27
0.6	656.9	34.63	30.42
1.5	222.1	97.03	31.01
2.75	92.5	122.8	32.19
4.25	93.6	128.32	30.87
5.5	88.5	133.66	31.11
6.75	75.3	133.69	28.19
8.25	35.5	162.44	23.53
9.5	69	197.8	25.51
11	74.8	206.12	27.34
13.5	63.2	242.25	26.78
16.5	42.2	253.79	25.2
19	35.5	254.96	24.84
21	44.5	275.8	25.29
23	37.4	299.77	26.57
24.75	49	304.85	28.34
26.25	36.8	291.15	26.79
28.5	29.5	282.02	25.9
33.5	3.2	247.32	nan
39.5	12	210.35	18.22
43.5	10.2	307.23	19.34
47.5	9	299.51	20.52
